1st_choice,2nd_choice,3rd_choice,ssc_or_olevel,hsc_or_alevel,medium,ssc_board,hsc_board,Credit Earned,CGPA,registered_program,target_dept
APE-1,CSE-2,EEE-3,,,ban,,,90.00,3.02,CS,ComputerSciandEngr
PHY-1,CSE-2,,,,ban,,,66.00,2.31,CS,ComputerSciandEngr
ARC-1,CSE-2,EEE-3,5,4.4,ban,Dhaka,Dhaka,108.00,2.64,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,4.5,ban,Dhaka,Dhaka,36.00,3.71,CS,ComputerSciandEngr
CSE-1,ARC-2,EEE-3,5,4.7,ban,Rajshahi,Rajshahi,30.00,2.21,CS,ComputerSciandEngr
ECE-1,CSE-2,EEE-3,,,ban,,,111.00,2.5,CS,ComputerSciandEngr
CSE-1,ECE-2,APE-3,,,ban,,,19.50,2.75,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,4.88,4.2,ban,Dhaka,Dhaka,75.00,2.39,CS,ComputerSciandEngr
CSE-1,EEE-2,ARC-3,5,4.6,ban,Chittagong,Chittagong,60.00,2.81,CS,ComputerSciandEngr
ARC-1,ECE-2,CSE-3,,,ban,,,45.00,2.57,CS,ComputerSciandEngr
EEE-1,CSE-2,APE-3,4.8,3.5,eng,,,81.00,2.72,CS,ComputerSciandEngr
CS-1,ECO-2,BBA-3,,,ban,,,9.00,2.47,CS,ComputerSciandEngr
CSE-1,ECE-2,EEE-3,5,5,ban,Rajshahi,Rajshahi,124.00,2.51,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,40.00,2.09,CS,ComputerSciandEngr
CSE-1,ARC-2,ECE-3,5,5,ban,Dhaka,Dhaka,90.00,3.05,CS,ComputerSciandEngr
CS-1,CSE-2,ARC-3,5,4,eng,,,15.00,3.56,CS,ComputerSciandEngr
CSE-1,CS-2,APE-3,5,5,ban,Dhaka,Dhaka,42.00,2.76,CS,ComputerSciandEngr
CSE-1,CS-2,ECE-3,5,5,ban,Dhaka,Dhaka,72.00,2.47,CS,ComputerSciandEngr
CSE-1,MIC-2,APE-3,5,5,ban,Dhaka,Dhaka,133.00,2.64,CS,ComputerSciandEngr
ECE-1,CS-2,BBA-3,5,4.8,ban,Dhaka,Dhaka,35.50,2.88,CS,ComputerSciandEngr
CSE-1,EEE-2,APE-3,5,5,ban,Dhaka,Dhaka,57.00,2.4,CS,ComputerSciandEngr
CSE-1,CS-2,EEE-3,4.86,4.5,eng,,,155.00,3.97,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,4,eng,,,130.00,2.08,CS,ComputerSciandEngr
CSE-1,ECE-2,EEE-3,5,3.7,eng,,,42.00,2.5,CS,ComputerSciandEngr
CSE-1,EEE-2,CS-3,5,5,ban,Dhaka,Dhaka,120.00,3.91,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,4.9,ban,Dhaka,Dhaka,126.00,2.28,CS,ComputerSciandEngr
EEE-1,CSE-2,ARC-3,5,4.7,ban,Jessore,Jessore,84.00,3.45,CS,ComputerSciandEngr
CSE-1,ECE-2,APE-3,5,4.3,ban,Dhaka,Dhaka,109.00,2.37,CS,ComputerSciandEngr
CS-1,MAT-2,ECO-3,4.6,2.5,eng,,,44.50,3.95,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,4,3,eng,,,117.00,2.49,CS,ComputerSciandEngr
CSE-1,CS-2,EEE-3,5,5,eng,,,48.00,2.72,CS,ComputerSciandEngr
ARC-1,CSE-2,BIO-3,5,5,ban,Dhaka,Dhaka,15.00,3.66,CS,ComputerSciandEngr
CS-1,MAT-2,ECO-3,5,4.5,eng,,,67.00,3.88,CS,ComputerSciandEngr
APE-1,EEE-2,ECE-3,3.67,4.5,eng,,,36.00,3.12,CS,ComputerSciandEngr
EEE-1,ECE-2,PHY-3,4.2,4.5,eng,,,106.00,4,CS,ComputerSciandEngr
CSE-1,ENG-2,CS-3,4.94,5,ban,Dhaka,Dhaka,54.00,3.99,CS,ComputerSciandEngr
CSE-1,BIO-2,ECO-3,5,4.8,ban,Dhaka,Dhaka,69.00,2.16,CS,ComputerSciandEngr
CSE-1,ECO-2,MIC-3,5,4.9,ban,Dhaka,Dhaka,96.00,2.69,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,4.8,ban,Rajshahi,Rajshahi,145.00,3.42,CS,ComputerSciandEngr
CSE-1,CS-2,PHY-3,5,5,ban,Dhaka,Dhaka,39.00,3.1,CS,ComputerSciandEngr
CSE-1,CS-2,BBA-3,5,4.6,ban,Rajshahi,Dhaka,39.00,2.88,CS,ComputerSciandEngr
PHR-1,CSE-2,CS-3,5,4.7,ban,Dhaka,Dhaka,27.00,2.12,CS,ComputerSciandEngr
CSE-1,APE-2,EEE-3,5,5,ban,Comilla,Comilla,15.00,3.17,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,5,ban,Dhaka,Dhaka,18.00,2.24,CS,ComputerSciandEngr
CSE-1,EEE-2,BBA-3,4.88,4.2,ban,Dhaka,Dhaka,21.00,2.8,CS,ComputerSciandEngr
CSE-1,MIC-2,BBA-3,5,5,ban,Dhaka,Dhaka,84.00,2.22,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,5,ban,Dhaka,Dhaka,105.00,2.89,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,5,ban,Dhaka,Dhaka,24.00,2.03,CS,ComputerSciandEngr
CSE-1,ARC-2,EEE-3,5,4.5,eng-ver,Dhaka,Dhaka,66.00,3,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,5,eng-ver,Dhaka,Dhaka,54.00,3.23,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,5,ban,Dinajpur,Dinajpur,63.00,2.88,CS,ComputerSciandEngr
CSE-1,APE-2,PHY-3,5,5,ban,Dhaka,Dhaka,38.50,2.97,CS,ComputerSciandEngr
CSE-1,EEE-2,APE-3,5,4.1,ban,Chittagong,Chittagong,12.00,2.15,CS,ComputerSciandEngr
CSE-1,EEE-2,PHR-3,5,5,ban,Dhaka,Dhaka,24.00,2.86,CS,ComputerSciandEngr
CSE-1,CS-2,,5,,eng,,,27.00,2.86,CS,ComputerSciandEngr
CSE-1,CS-2,EEE-3,5,3.5,eng,,,18.00,2.25,CS,ComputerSciandEngr
EEE-1,ECE-2,CSE-3,5,5,ban,Comilla,Comilla,15.00,2.85,CS,ComputerSciandEngr
CS-1,CSE-2,ENG-3,4.7,4,eng,,,114.00,2.43,CS,ComputerSciandEngr
EEE-1,CSE-2,ECE-3,5,5,ban,Rajshahi,Dhaka,42.00,2.64,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Barisal,Barisal,21.00,2.69,CS,ComputerSciandEngr
CSE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,133.00,2.41,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Rajshahi,Rajshahi,30.00,2.87,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,5,ban,Dhaka,Dhaka,51.00,2.59,CSE,ComputerSciandEngr
CSE-1,BBA-2,,5,5,ban,Dinajpur,Dinajpur,21.00,2.61,CSE,ComputerSciandEngr
CSE-1,ECE-2,,3.8,,eng,,,102.00,3.79,CSE,ComputerSciandEngr
EEE-1,CSE-2,,5,5,ban,Sylhet,Sylhet,120.00,3.79,CSE,ComputerSciandEngr
CSE-1,BBA-2,,5,4.1,ban,Dhaka,Dhaka,15.00,3.11,CSE,ComputerSciandEngr
CSE-1,EEE-2,,,,ban,,,124.00,3.8,CSE,ComputerSciandEngr
CSE-1,ARC-2,,,,ban,,,15.00,3.74,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.4,ban,Dinajpur,Dhaka,88.00,2.36,CSE,ComputerSciandEngr
CSE-1,ECE-2,,,,ban,,,72.00,3.77,CSE,ComputerSciandEngr
CSE-1,ECE-2,,4.5,4.5,ban,Dhaka,Dhaka,30.00,2.11,CSE,ComputerSciandEngr
ECE-1,CSE-2,,,,ban,,,54.00,2.91,CSE,ComputerSciandEngr
CSE-1,EEE-2,,,,ban,,,9.00,2.23,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,5,ban,Rajshahi,Dinajpur,15.00,2.62,CSE,ComputerSciandEngr
CSE-1,ARC-2,,,,ban,,,15.00,2.3,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.9,ban,Dinajpur,Dinajpur,52.50,3.5,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.8,ban,Dhaka,Dhaka,105.00,2.37,CSE,ComputerSciandEngr
CSE-1,ECO-2,,5,4.2,ban,Dhaka,Dhaka,63.00,2.67,CSE,ComputerSciandEngr
CSE-1,ARC-2,,5,4.4,ban,Dhaka,Dhaka,72.00,3.23,CSE,ComputerSciandEngr
EEE-1,CSE-2,,5,5,ban,Dhaka,Dhaka,24.00,3.82,CSE,ComputerSciandEngr
CSE-1,ECE-2,,4.81,5,ban,Dhaka,Dhaka,9.00,3.61,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,4.6,ban,Chittagong,Chittagong,72.00,2.15,CSE,ComputerSciandEngr
EEE-1,CSE-2,,,,ban,,,27.00,2.99,CSE,ComputerSciandEngr
EEE-1,ECE-2,,5,4.3,ban,Jessore,Jessore,9.00,3.64,CSE,ComputerSciandEngr
APE-1,ECE-2,,,,ban,,,33.00,3.69,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,,ban,Dhaka,,94.00,2.59,CSE,ComputerSciandEngr
EEE-1,BBA-2,,5,4.1,ban,Rajshahi,Rajshahi,51.00,3.18,CSE,ComputerSciandEngr
ARC-1,CSE-2,,5,4,ban,Jessore,Jessore,12.00,2.14,CSE,ComputerSciandEngr
CSE-1,ECE-2,,4.5,4.4,ban,Jessore,Jessore,66.00,2.76,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,3.8,ban,Jessore,Dhaka,15.00,2.09,CSE,ComputerSciandEngr
CSE-1,PHR-2,,5,4.4,ban,Comilla,Comilla,15.00,2.41,CSE,ComputerSciandEngr
CSE-1,BBA-2,,5,3.9,ban,Dhaka,Dhaka,33.00,2.29,CSE,ComputerSciandEngr
CSE-1,BBA-2,,4.56,3.6,ban,Dhaka,Dhaka,66.00,2.74,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.3,ban,Dhaka,Dhaka,93.00,2.9,CSE,ComputerSciandEngr
EEE-1,CSE-2,,,,ban,Dhaka,Dhaka,27.00,2.45,CSE,ComputerSciandEngr
CSE-1,EEE-2,,,,ban,,,120.00,2.97,CSE,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,4.5,eng,,,15.00,2.36,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,4.6,ban,Dhaka,Dhaka,60.00,2.24,CSE,ComputerSciandEngr
CSE-1,ECE-2,,3.81,3.5,ban,Barisal,Barisal,12.00,2.78,CSE,ComputerSciandEngr
CSE-1,ECE-2,,4.69,4.2,ban,Jessore,Jessore,30.00,2.44,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.2,eng-ver,Dhaka,Dhaka,18.00,2.86,CSE,ComputerSciandEngr
EEE-1,ARC-2,,4.75,4.6,eng-ver,Dhaka,Dhaka,15.00,3.05,CSE,ComputerSciandEngr
ECE-1,CSE-2,,4.81,,eng-ver,Dhaka,Dhaka,30.00,2.78,CSE,ComputerSciandEngr
ARC-1,CSE-2,,4.56,,eng-ver,Dhaka,Dhaka,12.00,2.27,CSE,ComputerSciandEngr
CSE-1,ARC-2,,5,5,ban,Dhaka,Dhaka,26.50,3.97,CSE,ComputerSciandEngr
EEE-1,CSE-2,,4.25,3.6,ban,Dhaka,Dhaka,42.00,2.51,CSE,ComputerSciandEngr
BBA-1,ECE-2,,5,5,ban,Jessore,Jessore,21.00,3.36,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,,ban,Dhaka,Dhaka,18.00,2.92,CSE,ComputerSciandEngr
ECE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,39.00,2.9,CSE,ComputerSciandEngr
CSE-1,EEE-2,,,,ban,,,8.00,2.17,CSE,ComputerSciandEngr
CSE-1,EEE-2,,,,ban,,,18.00,2.67,CSE,ComputerSciandEngr
ECE-1,CSE-2,,4.2,,eng,,,109.00,3.5,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.7,ban,Dhaka,Dhaka,105.50,2.24,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Rajshahi,Dinajpur,21.00,2.24,CSE,ComputerSciandEngr
CSE-1,BBA-2,,4.69,4,ban,Dhaka,Dhaka,15.00,2.15,CSE,ComputerSciandEngr
CSE-1,EEE-2,,4.94,4.9,ban,Dhaka,Dhaka,45.00,3.85,CSE,ComputerSciandEngr
EEE-1,CSE-2,,4.38,4.1,ban,Dhaka,Dhaka,9.00,2.13,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,48.00,2.54,CSE,ComputerSciandEngr
ARC-1,EEE-2,,5,4.7,ban,Dhaka,Dhaka,24.00,2.37,CSE,ComputerSciandEngr
CSE-1,EEE-2,,,,ban,Dhaka,Dhaka,15.00,2.66,CSE,ComputerSciandEngr
CSE-1,BBA-2,,5,5,ban,Dhaka,Dhaka,66.00,2.83,CSE,ComputerSciandEngr
CSE-1,MAT-2,,4.75,4.1,ban,Dhaka,Dhaka,132.00,2.18,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,4.1,ban,Dhaka,Dhaka,15.00,3.31,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4,ban,Rajshahi,Rajshahi,130.00,2.26,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,3.9,ban,Jessore,Jessore,24.00,2.3,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,4.6,ban,Dhaka,Dhaka,126.00,2.3,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,4.7,ban,Rajshahi,Rajshahi,45.00,2.39,CSE,ComputerSciandEngr
CSE-1,CS-2,,4.25,3.6,ban,Dhaka,Dhaka,81.00,2.29,CSE,ComputerSciandEngr
CSE-1,EEE-2,,4.94,4.1,ban,Dhaka,Dhaka,15.00,3.28,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,4.7,ban,Rajshahi,Rajshahi,52.50,2.31,CSE,ComputerSciandEngr
BBA-1,CSE-2,,4.13,3.9,ban,Dhaka,Dhaka,33.00,2.16,CSE,ComputerSciandEngr
CSE-1,BBA-2,,4.88,3.9,ban,Dhaka,Dhaka,60.00,2.51,CSE,ComputerSciandEngr
EEE-1,CSE-2,,5,,eng,,,137.00,2.78,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,5,ban,Dhaka,Dhaka,96.00,3.26,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,3.1,ban,Dhaka,Dhaka,24.00,3.85,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4,ban,Comilla,Comilla,51.00,3.67,CSE,ComputerSciandEngr
CSE-1,EEE-2,,4.63,3.9,ban,Dhaka,Dhaka,111.00,2.3,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,3.9,ban,Dhaka,Dhaka,21.00,3.95,CSE,ComputerSciandEngr
CSE-1,EEE-2,,,,ban,Dinajpur,Dinajpur,44.00,3.98,CSE,ComputerSciandEngr
ARC-1,CSE-2,,5,5,ban,Dhaka,Dhaka,105.00,2.59,CSE,ComputerSciandEngr
CSE-1,EEE-2,,4.75,4.7,ban,Jessore,Jessore,93.00,3.48,CSE,ComputerSciandEngr
BBA-1,CSE-2,,5,4.3,ban,Rajshahi,Rajshahi,73.50,2.5,CSE,ComputerSciandEngr
CSE-1,ECE-2,,4.19,3.3,ban,Sylhet,Sylhet,54.00,3.6,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.8,ban,Comilla,Dhaka,51.00,2.3,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,4.7,ban,Dhaka,Dhaka,93.00,2.75,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,4.1,ban,Dhaka,Dhaka,136.00,2.13,CSE,ComputerSciandEngr
ECE-1,ARC-2,,4.88,4.8,ban,Dhaka,Dhaka,12.00,2.91,CSE,ComputerSciandEngr
CSE-1,ECE-2,,4.88,3.9,ban,Dhaka,Dhaka,126.00,2.1,CSE,ComputerSciandEngr
CSE-1,ECE-2,,3.63,3.9,ban,Dhaka,Dhaka,51.00,3.22,CSE,ComputerSciandEngr
CSE-1,BBA-2,,5,4,ban,Jessore,Jessore,102.00,2.35,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,102.00,3.02,CSE,ComputerSciandEngr
EEE-1,CSE-2,,5,4.8,ban,Dhaka,Dhaka,120.00,4,CSE,ComputerSciandEngr
CSE-1,MIC-2,,5,4.8,ban,Jessore,Jessore,18.00,2.86,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,3.5,ban,Sylhet,Chittagong,105.00,2.82,CSE,ComputerSciandEngr
ARC-1,CSE-2,,5,4.5,ban,Chittagong,Chittagong,21.00,2.31,CSE,ComputerSciandEngr
ARC-1,CSE-2,,5,5,ban,Dhaka,Dhaka,21.00,2.77,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,9.00,2.62,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.9,ban,Dhaka,Dhaka,97.00,2.47,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,90.00,3.75,CSE,ComputerSciandEngr
ARC-1,CSE-2,,5,4.6,ban,Dhaka,Dhaka,40.00,2.02,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.3,ban,Chittagong,Chittagong,45.00,2.28,CSE,ComputerSciandEngr
CSE-1,ARC-2,,5,3.7,ban,Dhaka,Dhaka,30.00,3.13,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,4.7,ban,Chittagong,Chittagong,133.00,3.83,CSE,ComputerSciandEngr
CSE-1,BBA-2,,4.88,4.5,ban,Jessore,Jessore,15.00,2.58,CSE,ComputerSciandEngr
ECE-1,EEE-2,,,,ban,,,57.00,2.82,CSE,ComputerSciandEngr
CSE-1,BBA-2,,5,4.8,ban,Dhaka,Dhaka,32.50,3.21,CSE,ComputerSciandEngr
CSE-1,BBA-2,,,,ban,Dhaka,Dhaka,109.00,3.32,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.8,ban,Chittagong,Chittagong,36.00,2.4,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.4,ban,Sylhet,Sylhet,93.00,3.02,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,4.1,eng-ver,Dhaka,Dhaka,15.00,2.36,CSE,ComputerSciandEngr
CSE-1,EEE-2,,4.13,3.8,ban,Dhaka,Dhaka,30.00,2.19,CSE,ComputerSciandEngr
ARC-1,CSE-2,,5,4.5,ban,Dhaka,Dhaka,48.00,2.46,CSE,ComputerSciandEngr
ARC-1,CSE-2,,4.88,4.2,ban,Jessore,Jessore,48.00,2.33,CSE,ComputerSciandEngr
CSE-1,EEE-2,,4.63,4.2,ban,Dhaka,Dhaka,67.00,2.24,CSE,ComputerSciandEngr
CSE-1,EEE-2,,4.69,4.1,ban,Dhaka,Dhaka,12.00,2.05,CSE,ComputerSciandEngr
ARC-1,CSE-2,,5,4.3,ban,Dhaka,Dhaka,30.00,2.61,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,4.1,ban,Dhaka,Dhaka,48.00,2.24,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,3.4,ban,Dhaka,Dhaka,102.00,3.36,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.8,ban,Dhaka,Dhaka,24.00,3.46,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,3.8,ban,Dhaka,Dhaka,78.00,2.64,CSE,ComputerSciandEngr
CSE-1,LLB-2,,5,4,ban,Dhaka,Dhaka,27.00,2.71,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,3.8,ban,Dhaka,Dhaka,59.00,2.55,CSE,ComputerSciandEngr
EEE-1,CSE-2,,4.8,4.5,eng,,,66.00,3.58,CSE,ComputerSciandEngr
CSE-1,ARC-2,,5,5,ban,Chittagong,Dhaka,21.00,2.31,CSE,ComputerSciandEngr
CSE-1,ECE-2,,4.94,5,ban,Dhaka,Dhaka,21.00,2.95,CSE,ComputerSciandEngr
EEE-1,ARC-2,,,,ban,,,27.00,3.2,CSE,ComputerSciandEngr
ARC-1,EEE-2,,5,5,ban,Dhaka,Dhaka,57.00,2.15,CSE,ComputerSciandEngr
CSE-1,ARC-2,,5,5,ban,Dhaka,Dhaka,33.00,2.02,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,5,ban,Chittagong,Chittagong,36.00,2.22,CSE,ComputerSciandEngr
CSE-1,EEE-2,,4.81,5,ban,Dhaka,Dhaka,93.00,2.21,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4,ban,Comilla,Comilla,39.00,3.89,CSE,ComputerSciandEngr
EEE-1,CSE-2,,5,5,ban,Dinajpur,Dinajpur,86.50,3.57,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,4.3,ban,Dinajpur,Dinajpur,114.00,2.37,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,51.00,2.06,CSE,ComputerSciandEngr
CSE-1,ECO-2,,5,,ban,Dhaka,Dhaka,69.00,3.6,CSE,ComputerSciandEngr
EEE-1,CSE-2,,5,4.9,ban,Dhaka,Dhaka,21.00,2.41,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,127.50,2.32,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,5,ban,Chittagong,Chittagong,24.00,2.88,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.8,ban,Dhaka,Dhaka,111.00,2.96,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.5,ban,Dhaka,Dhaka,15.00,2.54,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.8,ban,Dhaka,Dhaka,117.00,3.63,CSE,ComputerSciandEngr
EEE-1,CSE-2,,5,4.3,ban,Dhaka,Dhaka,27.00,2.71,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,4.7,ban,Dhaka,Dhaka,15.00,2.81,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,eng,,,37.50,3.58,CSE,ComputerSciandEngr
CSE-1,PHR-2,,5,4.8,ban,Dhaka,Dhaka,30.00,2.74,CSE,ComputerSciandEngr
ECE-1,CSE-2,,5,4.6,ban,Dhaka,Dhaka,36.00,2.32,CSE,ComputerSciandEngr
BBA-1,EEE-2,,,,ban,Dhaka,Dhaka,94.50,2.35,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,42.00,2.43,CSE,ComputerSciandEngr
CSE-1,APE-2,,5,5,ban,Dhaka,Dhaka,66.00,3.5,CSE,ComputerSciandEngr
EEE-1,CS-2,,4.19,5,ban,Dhaka,Dhaka,12.00,2.11,CSE,ComputerSciandEngr
CSE-1,ARC-2,,5,5,ban,Dhaka,Dhaka,39.00,3.3,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,15.00,2.93,CSE,ComputerSciandEngr
CSE-1,EEE-2,,,,ban,Dhaka,Dhaka,27.00,3.52,CSE,ComputerSciandEngr
ARC-1,EEE-2,,5,4.9,ban,Dhaka,Dhaka,39.00,2.19,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,3.8,ban,Dhaka,Dhaka,51.00,2.37,CSE,ComputerSciandEngr
CSE-1,BBA-2,,5,5,ban,Dhaka,Dhaka,24.00,2.94,CSE,ComputerSciandEngr
PHR-1,ARC-2,,5,5,ban,Dhaka,Dhaka,93.00,2.32,CSE,ComputerSciandEngr
EEE-1,ARC-2,,5,4.5,ban,Rajshahi,Rajshahi,111.00,3.03,CSE,ComputerSciandEngr
EEE-1,CSE-2,,4.94,4.9,ban,Chittagong,Chittagong,127.00,2.1,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.4,ban,Chittagong,Chittagong,12.00,3.65,CSE,ComputerSciandEngr
EEE-1,CSE-2,,4.88,4.7,ban,Rajshahi,Rajshahi,42.00,3.85,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,84.00,2.35,CSE,ComputerSciandEngr
CSE-1,BBA-2,,5,5,ban,Dhaka,Dhaka,87.00,2.58,CSE,ComputerSciandEngr
CSE-1,PHR-2,,4.94,4.3,ban,Dhaka,Dhaka,79.00,2.26,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,5,ban,Dhaka,Dhaka,36.00,2.66,CSE,ComputerSciandEngr
ARC-1,CSE-2,,5,5,ban,Dhaka,Dhaka,42.00,2.73,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.9,ban,Dhaka,Dhaka,112.00,3.56,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,5,ban,Dinajpur,Dinajpur,105.00,2.6,CSE,ComputerSciandEngr
EEE-1,CSE-2,,4.81,4.1,ban,Dhaka,Dhaka,124.00,3.53,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,39.00,3.45,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,33.00,2.06,CSE,ComputerSciandEngr
CSE-1,PHR-2,,5,4.1,ban,Jessore,Jessore,24.00,2.45,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,54.00,3.41,CSE,ComputerSciandEngr
CSE-1,ARC-2,,5,4.4,ban,Comilla,Comilla,21.00,2.21,CSE,ComputerSciandEngr
EEE-1,CSE-2,,5,4.5,ban,Dhaka,Dhaka,15.00,2.37,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.9,ban,Chittagong,Chittagong,102.00,3.35,CSE,ComputerSciandEngr
ARC-1,EEE-2,,4.69,4.5,ban,Dhaka,Dhaka,18.00,2.39,CSE,ComputerSciandEngr
ARC-1,CSE-2,,,,ban,,,111.00,3.25,CSE,ComputerSciandEngr
CSE-1,BBA-2,,4.56,3.6,ban,Dhaka,Dhaka,66.00,2.79,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,eng,,,39.00,2.21,CSE,ComputerSciandEngr
EEE-1,CSE-2,,5,5,eng,,,126.00,2.34,CSE,ComputerSciandEngr
CSE-1,ARC-2,,5,4.8,ban,Dhaka,Dhaka,15.00,3.33,CSE,ComputerSciandEngr
EEE-1,CSE-2,,5,5,ban,Dhaka,Dhaka,54.00,2.21,CSE,ComputerSciandEngr
CS-1,CSE-2,,5,5,ban,Dhaka,Dhaka,30.00,3.77,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,3.7,eng,,,53.50,2.66,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.6,ban,Jessore,Jessore,15.00,2.81,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,50.50,3.46,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,4.8,ban,Dhaka,Dhaka,84.00,2.96,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.2,ban,Dhaka,Dhaka,54.00,2.55,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,3.8,ban,Dhaka,Dhaka,82.00,2.03,CSE,ComputerSciandEngr
CSE-1,EEE-2,,4.69,4.6,ban,Rajshahi,Dhaka,63.00,2.45,CSE,ComputerSciandEngr
